id,english,french,bislama,where
TR-0205,StikmNek connects tourists with the best local businesses across Vanuatu. Save money while experiencing authentic island culture.,StikmNek connecte les touristes avec les meilleures entreprises locales à travers le Vanuatu. Économisez tout en vivant la culture insulaire authentique.,StikmNek i konetim turis wetem bes lokal bisnis long Vanuatu. Sevem mani taem yu eksperiens tru aelan kalja.,table: footer.abouttext
TR-0206,What does “StikmNek” mean?,Que signifie « StikmNek » ?,Wanem minim blong “StikmNek”?,table: footer.nameMeaningTitle
TR-0207,It’s Bislama slang for approaching with confidence and charm to get someone interested — the Vanuatu way of friendly persuasion.,C’est un terme d’argot en bichlamar : approcher avec confiance et charme pour susciter l’intérêt — une persuasion amicale à la manière du Vanuatu.,Hemia Bislama slang: yu go klosap wetem konfiden mo smael blong mekem man i gat intres — frendli persuesen blong Vanuatu.,table: footer.nameMeaningBody
TR-0208,Why we built StikmNek,Pourquoi nous avons créé StikmNek,From wanem mifala i mekem StikmNek,table: footer.whyBuiltTitle
TR-0209,Local businesses wanted tourists but didn’t have websites. Tourists said Vanuatu feels expensive. StikmNek helps businesses get discovered and helps tourists unlock fair local deals — keeping more value with grassroots operators.,Les entreprises locales voulaient plus de touristes sans avoir de site. Les voyageurs disaient que le Vanuatu est cher. StikmNek aide les entreprises à être trouvées et aide les touristes à accéder à des offres locales justes — en soutenant les opérateurs de proximité.,"Ol lokal bisnis i wantem moa turis be oli no gat website. Turis i talem se Vanuatu i expensiv. StikmNek i halpem bisnis blong ol man i faenem, mo i halpem turis blong kasem gudfala lokal dils — sapotem smol bisnis.",table: footer.whyBuiltBody
TR-0210,100% locally owned · Supporting grassroots businesses,100 % localement détenu · Soutien aux entreprises locales,100% lokol ownem · Sapotem smol bisnis blong Vanuatu,table: footer.local_badge
TR-0211,Quick Links,Liens rapides,Kwik Link,table: footer.links
TR-0212,Support,Support,Sapot,table: footer.support
TR-0213,Legal,Légal,Ligal,table: footer.legal
TR-0214,Privacy Policy,Politique de confidentialité,Praevesi Polisi,table: footer.privacy
TR-0215,Terms of Service,Conditions d'utilisation,Tems blong Sevis,table: footer.terms
TR-0216,Business partner & listing terms,Partenaires & conditions d’inscription,Bisnis patna mo listem taem,table: footer.business_partner
TR-0217,GDPR Compliance,Conformité RGPD,GDPR Komplaens,table: footer.gdpr
TR-0218,Contact Us,Contactez-nous,Kontaktem Mifala,table: footer.contact
TR-0219,FAQ,FAQ,FAQ,table: footer.faq
TR-0220,List Your Business,Inscrivez votre entreprise,Listim ol Bisnis Blong Yu,table: footer.business
TR-0221,© 2026 StikmNek. All rights reserved.,© 2026 StikmNek. Tous droits réservés.,© 2026 StikmNek. Olgeta raets i risevd.,table: footer.copyright
TR-0222,Sign In,Connexion,Saen In,table: auth.signin
TR-0223,Sign Up,Inscription,Saen Ap,table: auth.signup
TR-0224,Email,Email,Imel,table: auth.email
TR-0225,Password,Mot de passe,Paswod,table: auth.password
TR-0226,Full Name,Nom complet,Ful Nem,table: auth.name
TR-0227,Tourist,Touriste,Turis,table: auth.tourist
TR-0228,Business Owner,Propriétaire d'entreprise,Bisnis Ona,table: auth.business
TR-0229,"Search deals, businesses...","Rechercher des offres, entreprises...","Sejem dils, bisnis...",table: general.search
TR-0230,Loading...,Chargement...,Lodim...,table: general.loading
TR-0231,Close,Fermer,Klosem,table: general.close
TR-0232,Back,Retour,Bak,table: general.back
TR-0233,Save,Sauvegarder,Sevem,table: general.save
TR-0234,Cancel,Annuler,Kanselem,table: general.cancel
TR-0235,OFF,DE RÉDUCTION,OF,table: general.off
TR-0236,per person,par personne,wan man,table: general.per_person
IN-0237,"Search by name, tag, or category...","Rechercher par nom, tag ou catégorie...","Sejem bae nem, tag, o kategori...",src/components/AdvancedSearch.tsx
IN-0238,Show only businesses you can contact directly via WhatsApp,Afficher uniquement les entreprises contactables via WhatsApp,Soem nomo bisnis we yu save kontaktem long WhatsApp,src/components/AdvancedSearch.tsx
IN-0239,List your business — free,Ajoutez votre entreprise — gratuit,Listim bisnis blong yu — fri,src/components/AppLayout.tsx
IN-0240,Sign up free,S'inscrire gratuitement,Saen up fri,src/components/AppLayout.tsx
IN-0241,Already signed up? Sign in,Déjà inscrit ? Se connecter,Gat akaont? Saen in,src/components/AppLayout.tsx
IN-0242,Try again,Réessayer,Traem bakeken,src/components/AppLayout.tsx
IN-0243,Finish your travel profile to unlock passes and the full app.,Terminez votre profil voyage pour débloquer les pass et toute l’application.,Finisim travel profil blong yu blong save anlokem pas mo yusum ful ap.,src/components/AppLayout.tsx
IN-0244,Continue setup,Poursuivre,Go hed blong set ap,src/components/AppLayout.tsx
IN-0245,Check your email for a password reset link.,Consultez votre email pour le lien de réinitialisation.,Lukim email blong yu blong reset link.,src/components/AuthModal.tsx
IN-0246,Business Sign Up,Inscription Entreprise,Bisnis Saen Ap,src/components/AuthModal.tsx
IN-0247,Tourist Sign Up,Inscription Touriste,Turis Saen Ap,src/components/AuthModal.tsx
IN-0248,We'll send you a reset link,Nous vous enverrons un lien,Bae mifala sendem link long yu,src/components/AuthModal.tsx
IN-0249,Welcome back to StikmNek,Bienvenue sur StikmNek,Welkam bak long StikmNek,src/components/AuthModal.tsx
IN-0250,Create your business account to start listing,Créez votre compte entreprise,Mekem bisnis akaont blong yu,src/components/AuthModal.tsx
IN-0251,Create your account to start saving,Créez votre compte pour économiser,Mekem akaont blong yu blong sevem,src/components/AuthModal.tsx
IN-0252,Join StikmNek,Rejoindre StikmNek,Joinim StikmNek,src/components/AuthModal.tsx
IN-0253,Choose how you want to use StikmNek,Choisissez comment utiliser StikmNek,Jusim olsem wanem yu wantem yusim StikmNek,src/components/AuthModal.tsx
IN-0254,I'm a Tourist,Je suis Touriste,Mi wan Turis,src/components/AuthModal.tsx
IN-0255,"Discover deals, buy discount passes, and save money while exploring Vanuatu.","Découvrez des offres, achetez des pass et économisez en explorant le Vanuatu.","Faenem dils, pem diskount pas, mo sevem mani taem yu eksploarem Vanuatu.",src/components/AuthModal.tsx
IN-0256,I'm a Business,Je suis une Entreprise,Mi wan Bisnis,src/components/AuthModal.tsx
IN-0257,"List your business, create offers for tourists, and grow your customer base.","Inscrivez votre entreprise, créez des offres et développez votre clientèle.","Listem bisnis blong yu, mekem ofa blong turis, mo groem kastoma beis.",src/components/AuthModal.tsx
IN-0258,Already have an account? ,Déjà un compte? ,Gat akaont finis? ,src/components/AuthModal.tsx
IN-0259,Check Your Email,Vérifiez votre email,Lukim Email Blong Yu,src/components/AuthModal.tsx
IN-0260,Forgot Password?,Mot de passe oublié ?,Fogetem Paswod?,src/components/AuthModal.tsx
IN-0261,We sent a reset link to your email,Un lien a été envoyé à votre email,Mifala i sendem link long email blong yu,src/components/AuthModal.tsx
IN-0262,Enter your email to receive a reset link,Entrez votre email pour recevoir un lien,Putum email blong yu blong karem reset link,src/components/AuthModal.tsx
IN-0263,"If an account exists for that email, you will receive a password reset link. Check your spam folder if you don't see it.","Si un compte existe pour cet email, vous recevrez un lien. Vérifiez vos spams si vous ne le voyez pas.","Sapos gat wan akaont long email ia, bae yu karem link. Lukim spam folder spos yu no luk email yah.",src/components/AuthModal.tsx
IN-0264,Back to Sign In,Retour à la connexion,Go Bak long Saen In,src/components/AuthModal.tsx
IN-0265,Send Reset Link,Envoyer le lien,Sendem Reset Link,src/components/AuthModal.tsx
IN-0266,"After signup, you'll be directed to set up your business profile","Après inscription, vous configurerez votre profil entreprise","Afta saen ap, bae yu go setupem bisnis profael blong yu",src/components/AuthModal.tsx
IN-0267,Your Name (Contact Person),Votre Nom (Personne de contact),Nem blong yu (Kontak),src/components/AuthModal.tsx
IN-0268,Forgot Password?,Mot de passe oublié ?,Fogetem Paswod?,src/components/AuthModal.tsx
IN-0269,Sign In,Se connecter,Saen In,src/components/AuthModal.tsx
IN-0270,Create Business Account,Créer un compte entreprise,Mekem wan Bisnis Akaont,src/components/AuthModal.tsx
IN-0271,Create Tourist Account,Créer un compte touriste,Mekem wan Turis Akaont,src/components/AuthModal.tsx
IN-0272,Don't have an account? ,Pas de compte? ,No gat akaont? ,src/components/AuthModal.tsx
IN-0273,Already have an account? ,Déjà un compte? ,Gat akaont finis? ,src/components/AuthModal.tsx
IN-0274,"By continuing, you agree to our Terms of Service and Privacy Policy. Your data is protected under GDPR compliance.","En continuant, vous acceptez nos Conditions d'utilisation et notre Politique de confidentialité.","Taem yu kontiniu, yu agri long Tems blong Sevis mo Praevesi Polisi blong mifala.",src/components/AuthModal.tsx
IN-0275,Sign in or create a StikmNek account,Connexion ou création de compte StikmNek,Saen in o mekem wan akaont StikmNek,src/components/AuthModal.tsx
IN-0276,"Choose how to sign in or create an account, then enter your email and password.","Choisissez comment vous connecter ou créer un compte, puis saisissez votre e-mail et votre mot de passe.","Jusum ao blong saen in o mekem akaont, afta putum email mo paswod.",src/components/AuthModal.tsx
IN-0277,Booking inquiry for,Demande de réservation pour,Bukin askem long,src/components/BookingInquiryModal.tsx
IN-0278,Visit details and contact fields are pre-filled from your profile — edit if needed. Then use the business contact buttons below.,Les informations de visite et de contact sont préremplies depuis votre profil — modifiez si besoin. Utilisez ensuite les boutons du commerce ci-dessous.,Visit mo kontakt i fulap long profil — jenjem sapos yu nidim. Bihain yusum baten blong bisnis.,src/components/BookingInquiryModal.tsx
IN-0279,Your details,Vos informations,Infomesen blong yu,src/components/BookingInquiryModal.tsx
IN-0280,"Confirm your name. Email, WhatsApp, and phone are saved on your profile — you can adjust them here for this request.","Confirmez votre nom. E-mail, WhatsApp et téléphone viennent de votre profil — vous pouvez les modifier pour cette demande.","Konfirm nem. Imel, WhatsApp mo fon i kam long profil — jenjem hia long ask ia.",src/components/BookingInquiryModal.tsx
IN-0281,Your email,Votre e-mail,Imel blong yu,src/components/BookingInquiryModal.tsx
IN-0282,Your WhatsApp,Votre WhatsApp,WhatsApp blong yu,src/components/BookingInquiryModal.tsx
IN-0283,Your phone,Votre téléphone,Fon blong yu,src/components/BookingInquiryModal.tsx
IN-0284,Infants (0–4),Bébés (0–4 ans),Smol pikinini (0–4),src/components/BookingInquiryModal.tsx
IN-0285,Contact this business,Contacter ce commerce,Kontaktem bisnis,src/components/BookingInquiryModal.tsx
IN-0286,These actions use the business’s own contact details — not your account info above.,Ces actions utilisent les coordonnées du commerce — pas les vôtres ci-dessus.,Olgeta i yusum kontakt blong bisnis — no blong yu.,src/components/BookingInquiryModal.tsx
IN-0287,Visit date,Date de visite,Dei blong visit,src/components/BookingInquiryModal.tsx
IN-0288,Adults,Adultes,Ol man,src/components/BookingInquiryModal.tsx
IN-0289,Children,Enfants,Pikinini,src/components/BookingInquiryModal.tsx
IN-0290,Total standard price,Prix standard total,Staned praes,src/components/BookingInquiryModal.tsx
IN-0291,Total StikmNek price,Prix StikmNek total,StikmNek praes,src/components/BookingInquiryModal.tsx
IN-0292,Your savings,Vos économies,Sevin blong yu,src/components/BookingInquiryModal.tsx
IN-0293,Your name,Votre nom,Nem blong yu,src/components/BookingInquiryModal.tsx
IN-0294,Send request by email,Envoyer la demande par e-mail,Send ask long imel,src/components/BookingInquiryModal.tsx
IN-0295,Chat on WhatsApp,Discuter sur WhatsApp,Toktok long WhatsApp,src/components/BookingInquiryModal.tsx
IN-0296,Call,Appeler,Kolem,src/components/BookingInquiryModal.tsx
IN-0297,"This listing has no email, WhatsApp, or phone on file. Please try again later.",Aucun moyen de contact n’est renseigné pour cette fiche.,No gat kontakt long lisiting ia.,src/components/BookingInquiryModal.tsx
IN-0298,Enter at least 1 guest to see pricing.,Indiquez au moins 1 personne pour voir les prix.,Putum wan price blong 1 man lukim praes.,src/components/BookingInquiryModal.tsx
IN-0299,Request sent! The business will contact you shortly.,Demande envoyée ! Le commerce vous contactera bientôt.,Rikwes i send! Bisnis bae kontakt yu.,src/components/BookingInquiryModal.tsx
IN-0300,Get a StikmNek pass to message businesses on WhatsApp and unlock member rates.,Obtenez un pass StikmNek pour contacter les entreprises sur WhatsApp et bénéficier des tarifs membres.,Yu nidim StikmNek pas blong mesej bisnis long WhatsApp mo kasem praes blong membas.,src/components/BusinessCard.tsx
IN-0301,Credentials saved. Admin will verify documents for leaderboard boost.,Identifiants enregistrés. Un admin validera vos documents.,Kredensel i sev. Admin bae verify.,src/components/BusinessCredentialsSettings.tsx
IN-0302,My credentials,Mes accréditations,Kredensel blong mi,src/components/BusinessCredentialsSettings.tsx
IN-0303,"Optional — upload insurance, permits, or training certificates. Verified credentials help you rank higher on the leaderboard. Not required for markets or shops without insurance.","Facultatif — téléchargez assurance, permis ou certificats. Les documents vérifiés améliorent votre classement.","Optional — upload insurance, permit o sertifikat. Sapos admin i verify, yu save rank moa high.",src/components/BusinessCredentialsSettings.tsx
IN-0304,Applies to your whole business — all your listings share these credentials.,Valable pour toute votre entreprise — toutes vos annonces partagent ces documents.,Blong olgeta bisnis — evri listing i yusum semak kredensel.,src/components/BusinessCredentialsSettings.tsx
IN-0305,First aid course completed,Date du cours de premiers secours,Dei blong first aid,src/components/BusinessCredentialsSettings.tsx
IN-0306,Save credentials,Enregistrer,Sevem kredensel,src/components/BusinessCredentialsSettings.tsx
IN-0307,My credentials,Accréditations,Kredensel blong mi,src/components/BusinessCredentialsTile.tsx
IN-0308,"Checked by StikmNek — green tick = verified, red X = not on file","Vérifié par StikmNek — coche verte = validé, X rouge = absent","StikmNek i check — grin tick = verify, red X = no gat",src/components/BusinessCredentialsTile.tsx
IN-0309,Helps you see what this business has provided for your peace of mind.,Voyez ce que cet établissement a fourni pour votre tranquillité.,Yu save lukim wanem dokumen bisnis ia i gat.,src/components/BusinessCredentialsTile.tsx
IN-0310,this business,cet établissement,bisnis ia,src/components/BusinessDetail.tsx
IN-0311,Schedule & departures,Horaires & départs,Taem mo lego,src/components/BusinessDetail.tsx
IN-0312,Operating hours,Heures d’ouverture,Taem blong wok,src/components/BusinessDetail.tsx
IN-0313,You need an active pass to request bookings and get discounts!,Vous avez besoin d’un pass actif pour demander une réservation et bénéficier des réductions !,Yu nidim aktiv pas blong askem bukin mo kasem diskaon!,src/components/BusinessDetail.tsx
IN-0314,Get a StikmNek pass to message businesses on WhatsApp and unlock member rates.,Obtenez un pass StikmNek pour contacter les entreprises sur WhatsApp et bénéficier des tarifs membres.,Yu nidim StikmNek pas blong mesej bisnis long WhatsApp mo kasem praes blong membas.,src/components/BusinessDetail.tsx
IN-0315,Link copied to clipboard!,Lien copié !,Link i kopi finis long clipboard!,src/components/BusinessDetail.tsx
IN-0316,Could not load live listing details.,Impossible de charger les détails de l’annonce.,No save lod live lo  listing detaels.,src/components/BusinessDetail.tsx
IN-0317,No active offers for this business yet.,Aucune offre active pour cet établissement pour le moment.,No gat aktiv ofa long bisnis yet .,src/components/BusinessDetail.tsx
IN-0318,Choose another listing from this business,Choisir une autre annonce,Jus wan narafa listing blong binis,src/components/BusinessDetail.tsx
IN-0319,Show less,Afficher moins,soem smol,src/components/BusinessDetail.tsx
IN-0320,Read more,Lire la suite,Ridim moa,src/components/BusinessDetail.tsx
IN-0321,Per-person pricing (VT),Tarifs par personne (VT),Praes long wanwan man (VT),src/components/BusinessDetail.tsx
IN-0322,Rates by guest type. Use Request booking to estimate totals for your party.,Tarifs selon le type de visiteur. Utilisez « Demander une réservation » pour le total.,Praes blong wanwan kaen man. Yusum rekwes buking blong yu blong faenemaot total blong pati.,src/components/BusinessDetail.tsx
IN-0323,Guest type,Type,Kaen man,src/components/BusinessDetail.tsx
IN-0324,Pax,Pers.,Man,src/components/BusinessDetail.tsx
IN-0325,Standard,Standard,Stantat,src/components/BusinessDetail.tsx
IN-0326,Flat rate,Tarif fixe,Flat praes,src/components/BusinessDetail.tsx
IN-0327,Chat on WhatsApp,Discuter sur WhatsApp,sentem mesej tarek ko long WhatsApp,src/components/BusinessDetail.tsx
IN-0328,Send a message directly to this business,Envoyez un message directement à cette entreprise,Sendem mesej daerekli ko long bisnis ia,src/components/BusinessDetail.tsx
IN-0329,Available once you have an active StikmNek pass — same as Request booking.,Disponible avec un pass StikmNek actif — comme « Demander une réservation ».,I save wok sapos yu gat aktiv StikmNek pas — semak taem yu rekwes bukin.,src/components/BusinessDetail.tsx
IN-0330,Open WhatsApp,Ouvrir WhatsApp,Openem WhatsApp,src/components/BusinessDetail.tsx
IN-0331,Opens WhatsApp with a pre-filled message. Available on mobile and desktop.,Ouvre WhatsApp avec un message pré-rempli. Disponible sur mobile et bureau.,Openem WhatsApp wetem mesej we i redi. I wok long fon mo kompyuta.,src/components/BusinessDetail.tsx
IN-0332,Sign in & get a pass to use WhatsApp,Connectez-vous et obtenez un pass pour WhatsApp,Login mo kasem pas blong yusum WhatsApp,src/components/BusinessDetail.tsx
IN-0333,You cannot review your own listing.,Vous ne pouvez pas noter votre propre annonce.,Yu no save riviu list blong yu yet.,src/components/BusinessDetail.tsx
IN-0334,Response from business,Réponse de l'établissement,Bisnis i talem,src/components/BusinessDetail.tsx
IN-0335,No reviews yet. Be the first to share your experience!,Pas encore d'avis. Soyez le premier à partager votre expérience !,No gat riviu yet. Yu faswan blong searem eksperiens blong yu!,src/components/BusinessDetail.tsx
IN-0336,Standard,Standard,Stantat,src/components/BusinessDetail.tsx
IN-0337,Your StikmNek member price,Votre tarif membre StikmNek,Praes blong memba StikmNek,src/components/BusinessDetail.tsx
IN-0338,Request booking,Demander une réservation,Askem bukin,src/components/BusinessDetail.tsx
IN-0339,Message on WhatsApp,Message sur WhatsApp,Mesej long WhatsApp,src/components/BusinessDetail.tsx
IN-0340,View on Google Maps,Voir sur Google Maps,Lukim long Google Maps,src/components/BusinessDetail.tsx
IN-0341,Discover amazing deals from local businesses across Vanuatu,Découvrez des offres incroyables des entreprises locales à travers le Vanuatu,Faenem nambawan dils long ol lokal bisnis long Vanuatu,src/components/BusinessGrid.tsx
IN-0342,No deals found. Try adjusting your filters.,Aucune offre trouvée. Essayez d'ajuster vos filtres.,No gat faenem any deal. Traem narafala sej.,src/components/BusinessGrid.tsx
IN-0343,View All Deals,Voir toutes les offres,Lukim Olgeta Dils,src/components/BusinessGrid.tsx
IN-0344,Scan a Pass,Scanner un Pass,Skanem wan Pas,src/components/BusinessHomeScreen.tsx
IN-0345,Scan tourist QR codes to verify and redeem discounts,Scannez les codes QR des touristes,Skanem QR kod blong turis blong reviu akaon,src/components/BusinessHomeScreen.tsx
IN-0346,Edit my Listing,Modifier mon annonce,Editim Listing Blong Mi,src/components/BusinessHomeScreen.tsx
IN-0347,"Update your business details, photos, and deals",Mettez à jour vos détails,Apdeitem ditel blong bisnis blong yu,src/components/BusinessHomeScreen.tsx
IN-0348,Credentials,Accréditations,Kredensel,src/components/BusinessHomeScreen.tsx
IN-0349,"Upload licence, insurance, and permits","Téléversez licence, assurance et permis",Uploadem permit mo insurance,src/components/BusinessHomeScreen.tsx
IN-0350,Create a New Listing,Créer une annonce,Mekem Niufala Listing,src/components/BusinessHomeScreen.tsx
IN-0351,Submit a new business listing for approval,Soumettre une nouvelle annonce,sapmitim niufala bisnis listing blong oli save aprovum ,src/components/BusinessHomeScreen.tsx
IN-0352,My Reviews,Mes Avis,Riviu Blong Mi,src/components/BusinessHomeScreen.tsx
IN-0353,Read and respond to customer reviews,Lire et répondre aux avis,Ridim mo ansarem riviu,src/components/BusinessHomeScreen.tsx
IN-0354,Home,Accueil,Hom,src/components/BusinessHomeScreen.tsx
IN-0355,Return to the main StikmNek app,Retourner à l'app principale,Go bak long main app,src/components/BusinessHomeScreen.tsx
IN-0356,Stats,Statistiques,Stat,src/components/BusinessHomeScreen.tsx
IN-0357,View your business analytics and performance,Voir vos analyses et performances,Lukim analitiks mo pefomans,src/components/BusinessHomeScreen.tsx
IN-0358,Welcome back,Bienvenue,Welkam bak,src/components/BusinessHomeScreen.tsx
IN-0359,Manage your business from here,Gérez votre entreprise ici,Managem bisnis blong yu long ples ia,src/components/BusinessHomeScreen.tsx
IN-0360,Quick Tips,Conseils rapides,Kwik Tips,src/components/BusinessHomeScreen.tsx
IN-0361,Get the most out of StikmNek,Tirez le meilleur parti de StikmNek,Kasem moa long StikmNek,src/components/BusinessHomeScreen.tsx
IN-0362,Please read and accept the Business partner & listing terms to continue.,Veuillez lire et accepter les conditions Partenaires commerciaux pour continuer.,Plis ridim mo agri long Business partner & listing terms bifo yu submit.,src/components/BusinessListingForm.tsx
IN-0363,"Optional: upload insurance, permits, or training certificates in Business Profile → My credentials. Verified documents help you rank higher on the leaderboard.","Facultatif : téléchargez assurance, permis ou certificats dans Profil entreprise → Mes accréditations.",Opsenel: aplotem insurens o permit long bisnis profael — My credentials.,src/components/BusinessListingForm.tsx
IN-0364,Upload credentials,Télécharger des documents,Upload kredensel,src/components/BusinessListingForm.tsx
IN-0365,Your deal,Votre offre,Dil blong yu,src/components/BusinessListingForm.tsx
IN-0366,Price,Prix,Praes,src/components/BusinessListingForm.tsx
IN-0367,Details,Détails,Ol samting,src/components/BusinessListingForm.tsx
IN-0368,Photos,Photos,Foto,src/components/BusinessListingForm.tsx
IN-0369,Finish,Terminer,Finisim,src/components/BusinessListingForm.tsx
IN-0370,Please complete this step.,Veuillez compléter cette étape.,Plis komplitim step ia.,src/components/BusinessListingForm.tsx
IN-0371,Edit your listing,Modifier votre annonce,Senisim listing,src/components/BusinessListingForm.tsx
IN-0372,List Your Business for Free,Inscrivez votre entreprise gratuitement,Listim Bisnis Blong Yu fo Fri,src/components/BusinessListingForm.tsx
IN-0373,Join 120+ local businesses reaching thousands of tourists,Rejoignez plus de 120 entreprises locales atteignant des milliers de touristes,Joinem 120+ lokal bisnis we i rijim plante turis,src/components/BusinessListingForm.tsx
IN-0374,Simple flow,Parcours simple,Simpol wok,src/components/BusinessListingForm.tsx
IN-0375,"First complete your business profile (Dashboard → Business Profile) with phone, WhatsApp, and address. Here you add each deal separately — we copy those saved details into this form. Scroll down to optionally upload credentials (insurance, permits). Use a clear title for this deal (not only your company name).",Complétez dabord votre profil entreprise (tableau de bord → Profil entreprise). Ici vous ajoutez chaque offre. Faites défiler pour télécharger des accréditations (facultatif). Donnez un titre clair pour cette offre.,Fes komplitim profael bisnis long dashboard. Hia yu adem evri dil. Scroll daon blong upload kredensel (optional). Yusum klia titel blong dil ia.,src/components/BusinessListingForm.tsx
IN-0376,Create a Business Account,Créer un compte entreprise,Mekem wan Bisnis Akaon,src/components/BusinessListingForm.tsx
IN-0377,Sign up as a business owner to list your business and manage your offers.,Inscrivez-vous en tant que propriétaire d'entreprise pour gérer vos offres.,Saen ap olsem bisnis ona blong listim bisnis blong yu.,src/components/BusinessListingForm.tsx
IN-0378,Sign Up as Business,S'inscrire en tant qu'entreprise,Saen Ap olsem Bisnis,src/components/BusinessListingForm.tsx
IN-0379,Already have an account? Sign In,Déjà un compte? Se connecter,Yu gat wan akaon? Saen In,src/components/BusinessListingForm.tsx
IN-0380,Business Account Required,Compte entreprise requis,Bisnis Akaon i Nidim,src/components/BusinessListingForm.tsx
IN-0381,"You're currently signed in as a tourist. To list a business, you'll need a business account.","Vous êtes connecté en tant que touriste. Pour inscrire une entreprise, vous avez besoin d'un compte entreprise.","Yu saen in olsem wan turis. Blong listim bisnis, yu nidim bisnis akaon.",src/components/BusinessListingForm.tsx
IN-0382,Step,Étape,Step,src/components/BusinessListingForm.tsx
IN-0383,Saved automatically,Enregistré automatiquement,Sevem otomatik,src/components/BusinessListingForm.tsx
IN-0384,Clear this listing and start over?,Effacer cette annonce et recommencer ?,Kliarem listing ia mo stat bakegen?,src/components/BusinessListingForm.tsx
IN-0385,Start over,Recommencer,Stat bakegen,src/components/BusinessListingForm.tsx
IN-0386,Deal / listing title,Titre de l’offre,Taetel blong dil,src/components/BusinessListingForm.tsx
IN-0387,e.g. Reef Explorer Semi-Sub Tour – Port Vila,ex. Visite semi-submersible – Port-Vila,ex. Semi-sub tua – Port Vila,src/components/BusinessListingForm.tsx
IN-0388,This is the name tourists see for this deal. Save to update your live listing.,C’est le nom visible pour cette offre. Enregistrez pour mettre à jour.,Nem ia turis bae luk long dil ia. Sevem blong apdetem.,src/components/BusinessListingForm.tsx
IN-0389,Pricing & Discount (VT),Prix et remise (VT),Praes mo Diskaon (VT),src/components/BusinessListingForm.tsx
IN-0390,Enter a single per-person price in Vatu (VT) (used if you add no tiers). Discount is optional — businesses offering discounts get featured priority.,Entrez un prix unique par personne en Vatu (VT) (utilisé si vous n’ajoutez pas de paliers). La remise est optionnelle — les entreprises offrant des remises sont prioritaires.,Putum wan praes long Vatu (VT) (hem i wok sapos yu no putum tiers). Diskaon i opsenal — bisnis we i gat diskaon i go feswan.,src/components/BusinessListingForm.tsx
IN-0391,Enter your price in Vatu (VT). Discount is optional — businesses offering discounts get featured priority.,Entrez votre prix en Vatu (VT). La remise est optionnelle — les entreprises offrant des remises sont prioritaires.,Putum praes long Vatu (VT). Diskaon i opsenal — bisnis we i gat diskaon i go feswan.,src/components/BusinessListingForm.tsx
IN-0392,Your Price (VT),Votre prix (VT),Praes blong yu (VT),src/components/BusinessListingForm.tsx
IN-0393,Regular price per person in Vatu,Prix normal par personne en Vatu,Stantat praes long wan man (VT),src/components/BusinessListingForm.tsx
IN-0394,Discount (%),Remise (%),Diskaon (%),src/components/BusinessListingForm.tsx
IN-0395,New Price (auto),Nouveau prix (auto),Niu Praes (oto),src/components/BusinessListingForm.tsx
IN-0396,Customer will see,Le client verra,Kastoma bae luk,src/components/BusinessListingForm.tsx
IN-0397,Customer saves,Le client économise,Kastoma i sevem,src/components/BusinessListingForm.tsx
IN-0398,per person,par personne,long wan man,src/components/BusinessListingForm.tsx
IN-0399,Discount Validity Period,Période de validité de la remise,Taem blong Diskaon i valit long wan periot,src/components/BusinessListingForm.tsx
IN-0400,Discount Valid From *,Valide à partir du *,Diskaon Stat long wanem Dei *,src/components/BusinessListingForm.tsx
IN-0401,Listing Duration,Durée de l'inscription,Hamas Taem,src/components/BusinessListingForm.tsx
IN-0402,Discount Valid Until,Valide jusqu'au,En blong valit diskaon long wanem Dei,src/components/BusinessListingForm.tsx
IN-0403,WhatsApp Number (Optional),Numéro WhatsApp (Optionnel),WhatsApp Namba (Opsenal),src/components/BusinessListingForm.tsx
IN-0404,Add your WhatsApp number so tourists can message you directly. Include country code (e.g. +678).,Ajoutez votre numéro WhatsApp pour que les touristes puissent vous contacter directement.,Addem WhatsApp namba blong yu blong turis i save mesej yu daerekli.,src/components/BusinessListingForm.tsx
IN-0405,Tourists will be able to open WhatsApp and message you directly from your listing. Your number will be displayed publicly.,Les touristes pourront ouvrir WhatsApp et vous envoyer un message directement depuis votre fiche.,Turis bae save openem WhatsApp mo sendem mesej long yu daerekli.,src/components/BusinessListingForm.tsx
IN-0406,Online Presence & Map,Présence en ligne et carte,Onlaen mo Map,src/components/BusinessListingForm.tsx
IN-0407,Optional — company credentials,Facultatif — accréditations,Optional — kampani kredensel,src/components/BusinessListingForm.tsx
IN-0408,"Save your business profile in the dashboard first (phone, address, logo). Then you can upload optional credentials (insurance, permits) on this form or under Business Profile.","Enregistrez dabord votre profil entreprise dans le tableau de bord, puis vous pourrez télécharger des accréditations ici.",Sevem profael bisnis long dashboard fastaem bae yu save aplotem kredensel.,src/components/BusinessListingForm.tsx
IN-0409,Submit changes for review,Envoyer les modifications,Submitim jenses blong save reviu,src/components/BusinessListingForm.tsx
IN-0410,Next,Suivant,Nekis,src/components/BusinessListingForm.tsx
IN-0411,Close,Fermer,Klosem,src/components/BusinessListingForm.tsx
IN-0412,I agree to these terms,J'accepte ces conditions,Mi agri long ol tems ia,src/components/BusinessListingForm.tsx
IN-0413,Close,Fermer,Klosem,src/components/BusinessListingForm.tsx
